iter	Passed	Remaining
0	137	137113
1	138	69105
2	140	46602
3	141	35328
4	143	28552
5	145	24139
6	147	20866
7	148	18357
8	148	16395
9	149	14835
10	151	13587
11	152	12545
12	153	11644
13	154	10847
14	154	10177
15	156	9629
16	157	9120
17	158	8630
18	158	8201
19	159	7804
20	159	7444
21	160	7118
22	160	6829
23	161	6562
24	161	6310
25	162	6081
26	162	5867
27	163	5668
28	163	5485
29	164	5312
30	164	5155
31	165	5007
32	166	4867
33	166	4735
34	167	4610
35	167	4491
36	168	4380
37	168	4272
38	169	4170
39	169	4073
40	170	3980
41	170	3892
42	171	3808
43	171	3726
44	171	3649
45	172	3576
46	172	3505
47	173	3437
48	173	3376
49	174	3318
50	175	3258
51	175	3201
52	176	3146
53	176	3092
54	177	3041
55	177	2991
56	177	2943
57	178	2896
58	178	2851
59	179	2807
60	179	2765
61	180	2724
62	180	2684
63	180	2646
64	181	2609
65	181	2573
66	182	2538
67	182	2501
68	182	2468
69	183	2436
70	183	2405
71	184	2375
72	184	2345
73	185	2316
74	185	2288
75	186	2261
76	186	2235
77	186	2209
78	187	2186
79	187	2161
80	188	2137
81	188	2113
82	189	2091
83	189	2068
84	189	2045
85	190	2023
86	190	2001
87	191	1981
88	191	1961
89	192	1941
90	192	1922
91	192	1904
92	193	1886
93	193	1868
94	194	1850
95	194	1833
96	195	1816
97	195	1799
98	195	1783
99	196	1768
100	196	1752
101	197	1736
102	197	1722
103	198	1707
104	198	1693
105	199	1679
106	199	1665
107	199	1651
108	200	1638
109	200	1625
110	201	1611
111	201	1599
112	202	1586
113	202	1574
114	202	1562
115	203	1550
116	203	1538
117	204	1527
118	204	1515
119	205	1504
120	205	1493
121	206	1482
122	206	1470
123	206	1460
124	207	1449
125	207	1440
126	208	1430
127	208	1420
128	208	1410
129	209	1400
130	209	1391
131	210	1382
132	210	1373
133	211	1364
134	211	1355
135	212	1346
136	212	1338
137	212	1329
138	213	1321
139	213	1313
140	214	1305
141	214	1297
142	215	1289
143	215	1281
144	216	1273
145	216	1266
146	216	1258
147	217	1251
148	217	1244
149	218	1237
150	218	1230
151	219	1224
152	219	1217
153	220	1210
154	220	1203
155	221	1196
156	221	1190
157	222	1183
158	222	1177
159	222	1170
160	223	1164
161	223	1157
162	224	1151
163	224	1145
164	225	1139
165	225	1133
166	226	1127
167	226	1122
168	227	1116
169	227	1110
170	227	1104
171	228	1099
172	228	1093
173	229	1088
174	229	1083
175	230	1078
176	230	1072
177	231	1067
178	231	1062
179	232	1057
180	232	1050
181	232	1045
182	233	1040
183	233	1036
184	234	1031
185	234	1026
186	234	1021
187	235	1016
188	235	1011
189	236	1006
190	236	1002
191	237	997
192	237	993
193	237	988
194	238	983
195	238	979
196	239	975
197	239	971
198	240	967
199	240	963
200	241	959
201	241	955
202	242	951
203	242	947
204	243	944
205	243	940
206	244	935
207	244	931
208	245	928
209	245	924
210	246	920
211	246	916
212	247	912
213	247	909
214	247	905
215	248	901
216	248	897
217	249	894
218	249	890
219	250	887
220	250	883
221	251	880
222	251	876
223	252	873
224	252	869
225	252	866
226	253	863
227	253	859
228	254	856
229	254	853
230	255	849
231	255	846
232	256	843
233	256	840
234	257	837
235	257	833
236	257	830
237	258	827
238	258	824
239	259	821
240	259	817
241	260	814
242	260	811
243	261	808
244	261	806
245	262	803
246	262	800
247	262	797
248	263	794
249	263	791
250	264	788
251	264	785
252	265	782
253	265	779
254	266	777
255	266	774
256	266	771
257	267	768
258	267	766
259	268	763
260	268	760
261	269	757
262	269	755
263	269	752
264	270	750
265	270	747
266	271	745
267	271	742
268	272	740
269	272	737
270	273	735
271	273	732
272	274	730
273	274	727
274	275	725
275	275	723
276	276	720
277	276	718
278	276	715
279	277	713
280	277	710
281	278	708
282	278	706
283	279	703
284	279	701
285	280	699
286	280	696
287	280	694
288	281	692
289	281	690
290	282	688
291	282	685
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	285	673
298	286	671
299	286	668
300	287	666
301	287	664
302	288	662
303	288	660
304	288	658
305	289	656
306	289	654
307	290	652
308	290	649
309	291	647
310	291	645
311	292	643
312	292	641
313	293	640
314	293	638
315	294	636
316	294	634
317	295	632
318	295	630
319	295	628
320	296	626
321	296	624
322	297	622
323	297	621
324	298	619
325	298	617
326	299	615
327	299	613
328	299	611
329	300	609
330	300	607
331	301	606
332	301	604
333	302	602
334	302	600
335	302	598
336	303	597
337	304	595
338	304	594
339	305	592
340	306	591
341	306	589
342	306	587
343	307	586
344	307	584
345	308	582
346	308	580
347	309	579
348	309	577
349	309	575
350	310	573
351	310	572
352	311	570
353	311	568
354	312	567
355	312	565
356	313	564
357	313	562
358	314	561
359	314	559
360	315	558
361	315	556
362	316	554
363	316	553
364	317	551
365	317	550
366	317	548
367	318	546
368	318	545
369	319	543
370	319	542
371	320	540
372	320	539
373	321	537
374	321	535
375	322	534
376	322	532
377	322	531
378	323	529
379	323	528
380	324	526
381	324	525
382	325	524
383	325	522
384	326	521
385	326	519
386	327	518
387	327	516
388	328	515
389	328	513
390	328	512
391	329	510
392	329	509
393	330	507
394	330	506
395	331	505
396	331	503
397	332	502
398	332	500
399	332	499
400	333	497
401	333	496
402	334	495
403	334	493
404	335	492
405	335	490
406	336	489
407	336	488
408	336	486
409	337	485
410	337	484
411	338	482
412	338	481
413	339	480
414	339	478
415	340	477
416	340	476
417	341	474
418	341	473
419	341	472
420	342	470
421	342	469
422	343	468
423	343	467
424	344	465
425	344	464
426	345	463
427	345	461
428	346	460
429	346	459
430	347	458
431	347	456
432	347	455
433	348	454
434	348	453
435	349	451
436	349	450
437	350	449
438	350	448
439	351	446
440	351	445
441	351	444
442	352	443
443	352	441
444	353	440
445	353	439
446	354	438
447	354	437
448	355	435
449	355	434
450	355	433
451	356	432
452	356	430
453	357	429
454	357	428
455	358	427
456	358	426
457	359	424
458	359	423
459	359	422
460	360	421
461	360	420
462	361	419
463	361	417
464	362	416
465	362	415
466	363	414
467	363	413
468	364	412
469	364	411
470	364	409
471	365	408
472	365	407
473	366	406
474	366	405
475	367	404
476	367	403
477	368	401
478	368	400
479	368	399
480	369	398
481	369	397
482	370	396
483	370	395
484	371	394
485	371	393
486	372	391
487	372	390
488	372	389
489	373	388
490	373	387
491	374	386
492	375	385
493	375	384
494	376	383
495	376	382
496	377	382
497	378	381
498	378	380
499	379	379
500	379	378
501	380	377
502	380	375
503	380	374
504	381	373
505	381	372
506	382	371
507	382	370
508	383	369
509	383	368
510	384	367
511	384	366
512	385	365
513	385	364
514	385	363
515	386	362
516	386	361
517	387	360
518	387	359
519	388	358
520	388	357
521	389	356
522	389	355
523	390	354
524	390	353
525	390	352
526	391	351
527	391	350
528	392	349
529	392	348
530	393	347
531	393	346
532	394	345
533	394	344
534	395	343
535	395	342
536	396	341
537	396	340
538	397	339
539	397	338
540	397	337
541	398	336
542	398	335
543	399	334
544	399	333
545	400	332
546	400	331
547	401	330
548	401	329
549	402	328
550	402	327
551	402	326
552	403	326
553	403	325
554	404	324
555	404	323
556	405	322
557	405	321
558	406	320
559	406	319
560	407	318
561	407	317
562	407	316
563	408	315
564	408	314
565	409	313
566	409	312
567	410	311
568	410	311
569	411	310
570	411	309
571	411	308
572	412	307
573	412	306
574	413	305
575	413	304
576	414	303
577	414	302
578	415	302
579	415	301
580	416	300
581	416	299
582	417	298
583	417	297
584	418	296
585	418	295
586	419	294
587	419	294
588	420	293
589	420	292
590	421	291
591	421	290
592	422	289
593	422	288
594	423	287
595	423	287
596	424	286
597	424	285
598	425	284
599	425	283
600	426	282
601	426	282
602	427	281
603	427	280
604	427	279
605	428	278
606	428	277
607	429	276
608	430	276
609	430	275
610	431	274
611	431	273
612	432	272
613	432	271
614	433	271
615	433	270
616	434	269
617	434	268
618	435	267
619	435	267
620	436	266
621	436	265
622	437	264
623	437	263
624	438	262
625	438	261
626	438	261
627	439	260
628	439	259
629	440	258
630	440	257
631	441	256
632	441	255
633	441	255
634	442	254
635	442	253
636	443	252
637	443	251
638	444	251
639	444	250
640	445	249
641	445	248
642	446	247
643	446	246
644	447	246
645	447	245
646	448	244
647	448	243
648	448	242
649	449	241
650	449	241
651	450	240
652	450	239
653	451	238
654	451	237
655	451	237
656	452	236
657	452	235
658	453	234
659	453	233
660	454	232
661	454	232
662	455	231
663	455	230
664	456	229
665	456	228
666	457	228
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	459	223
673	460	222
674	460	221
675	461	221
676	461	220
677	462	219
678	462	218
679	462	217
680	463	217
681	463	216
682	464	215
683	464	214
684	465	213
685	465	213
686	466	212
687	466	211
688	467	210
689	467	210
690	468	209
691	468	208
692	468	207
693	469	206
694	469	206
695	470	205
696	470	204
697	471	203
698	471	203
699	471	202
700	472	201
701	472	200
702	473	199
703	473	199
704	474	198
705	474	197
706	474	196
707	475	196
708	475	195
709	476	194
710	476	193
711	477	193
712	477	192
713	478	191
714	478	190
715	479	190
716	479	189
717	479	188
718	480	187
719	480	186
720	481	186
721	481	185
722	482	184
723	482	183
724	483	183
725	483	182
726	483	181
727	484	180
728	484	180
729	485	179
730	485	178
731	486	178
732	486	177
733	487	176
734	487	175
735	488	175
736	488	174
737	489	173
738	489	172
739	489	172
740	490	171
741	490	170
742	491	169
743	491	169
744	492	168
745	492	167
746	492	166
747	493	166
748	493	165
749	494	164
750	494	164
751	495	163
752	495	162
753	496	161
754	496	161
755	497	160
756	497	159
757	498	158
758	498	158
759	498	157
760	499	156
761	499	156
762	500	155
763	500	154
764	501	153
765	501	153
766	502	152
767	502	151
768	502	151
769	503	150
770	503	149
771	504	148
772	504	148
773	505	147
774	505	146
775	506	146
776	506	145
777	507	144
778	507	144
779	508	143
780	508	142
781	508	141
782	509	141
783	509	140
784	510	139
785	510	139
786	511	138
787	511	137
788	512	136
789	512	136
790	512	135
791	513	134
792	513	134
793	514	133
794	514	132
795	515	132
796	515	131
797	516	130
798	516	129
799	517	129
800	517	128
801	518	127
802	518	127
803	519	126
804	519	125
805	519	125
806	520	124
807	520	123
808	521	123
809	521	122
810	522	121
811	522	120
812	522	120
813	523	119
814	523	118
815	524	118
816	524	117
817	525	116
818	525	116
819	526	115
820	526	114
821	526	114
822	527	113
823	527	112
824	528	112
825	528	111
826	529	110
827	529	110
828	530	109
829	530	108
830	531	107
831	531	107
832	531	106
833	532	105
834	532	105
835	533	104
836	533	103
837	534	103
838	534	102
839	535	101
840	535	101
841	535	100
842	536	99
843	536	99
844	537	98
845	537	97
846	538	97
847	538	96
848	539	95
849	539	95
850	540	94
851	540	93
852	540	93
853	541	92
854	541	91
855	542	91
856	542	90
857	543	89
858	543	89
859	544	88
860	544	87
861	544	87
862	545	86
863	545	85
864	546	85
865	546	84
866	547	83
867	547	83
868	548	82
869	548	81
870	548	81
871	549	80
872	549	79
873	550	79
874	550	78
875	551	78
876	551	77
877	552	76
878	552	76
879	552	75
880	553	74
881	553	74
882	554	73
883	554	72
884	555	72
885	555	71
886	556	70
887	557	70
888	557	69
889	558	68
890	558	68
891	559	67
892	559	67
893	559	66
894	560	65
895	560	65
896	561	64
897	561	63
898	562	63
899	562	62
900	563	61
901	563	61
902	564	60
903	564	59
904	565	59
905	565	58
906	566	58
907	566	57
908	567	56
909	567	56
910	567	55
911	568	54
912	568	54
913	569	53
914	569	52
915	570	52
916	570	51
917	571	51
918	571	50
919	572	49
920	572	49
921	572	48
922	573	47
923	573	47
924	574	46
925	574	45
926	575	45
927	575	44
928	576	44
929	576	43
930	577	42
931	577	42
932	578	41
933	578	40
934	578	40
935	579	39
936	579	38
937	580	38
938	580	37
939	581	37
940	581	36
941	582	35
942	582	35
943	583	34
944	583	33
945	584	33
946	584	32
947	584	32
948	585	31
949	585	30
950	586	30
951	586	29
952	587	28
953	587	28
954	587	27
955	588	27
956	588	26
957	589	25
958	589	25
959	590	24
960	590	23
961	590	23
962	591	22
963	591	22
964	592	21
965	592	20
966	593	20
967	593	19
968	594	19
969	594	18
970	595	17
971	595	17
972	595	16
973	596	15
974	596	15
975	597	14
976	597	14
977	598	13
978	598	12
979	599	12
980	599	11
981	599	10
982	600	10
983	600	9
984	601	9
985	601	8
986	602	7
987	602	7
988	603	6
989	603	6
990	604	5
991	604	4
992	605	4
993	605	3
994	605	3
995	606	2
996	606	1
997	607	1
998	607	0
999	608	0
