iter	Passed	Remaining
0	117	116946
1	120	59880
2	122	40753
3	125	31211
4	127	25461
5	130	21634
6	133	18893
7	136	16940
8	139	15400
9	142	14089
10	144	12983
11	147	12127
12	149	11359
13	152	10726
14	155	10206
15	158	9723
16	160	9281
17	163	8912
18	166	8582
19	168	8276
20	172	8049
21	175	7796
22	178	7565
23	180	7342
24	183	7143
25	185	6952
26	188	6780
27	191	6662
28	194	6518
29	196	6356
30	198	6219
31	201	6109
32	204	5980
33	206	5877
34	208	5756
35	211	5667
36	213	5566
37	215	5458
38	217	5355
39	219	5257
40	220	5168
41	223	5092
42	225	5019
43	227	4946
44	229	4876
45	232	4818
46	234	4751
47	236	4699
48	239	4647
49	242	4612
50	245	4569
51	247	4520
52	250	4471
53	252	4429
54	255	4388
55	257	4348
56	260	4307
57	262	4269
58	265	4233
59	267	4193
60	269	4154
61	273	4130
62	275	4096
63	277	4064
64	280	4029
65	282	4004
66	285	3976
67	287	3942
68	290	3918
69	293	3899
70	295	3871
71	299	3859
72	302	3847
73	305	3828
74	308	3800
75	310	3772
76	313	3759
77	316	3742
78	319	3726
79	323	3723
80	326	3704
81	332	3727
82	334	3700
83	338	3689
84	342	3683
85	345	3673
86	348	3658
87	352	3648
88	355	3634
89	358	3622
90	362	3622
91	366	3617
92	372	3628
93	382	3686
94	386	3681
95	388	3662
96	391	3644
97	395	3636
98	397	3613
99	397	3581
100	399	3552
101	400	3528
102	403	3513
103	405	3493
104	414	3529
105	414	3498
106	415	3471
107	417	3445
108	418	3419
109	419	3394
110	421	3375
111	422	3353
112	425	3336
113	426	3317
114	428	3295
115	429	3275
116	430	3251
117	432	3232
118	434	3213
119	435	3192
120	436	3169
121	437	3147
122	438	3127
123	440	3108
124	441	3088
125	442	3070
126	444	3052
127	445	3035
128	447	3019
129	448	3003
130	449	2984
131	451	2968
132	452	2950
133	454	2935
134	456	2922
135	457	2906
136	458	2891
137	460	2876
138	462	2862
139	463	2848
140	465	2834
141	466	2816
142	467	2801
143	469	2788
144	470	2775
145	472	2762
146	473	2748
147	475	2736
148	477	2724
149	478	2712
150	481	2704
151	482	2693
152	484	2683
153	486	2673
154	488	2663
155	490	2652
156	492	2642
157	493	2631
158	495	2622
159	497	2612
160	499	2603
161	501	2593
162	503	2583
163	504	2574
164	507	2566
165	508	2556
166	510	2547
167	512	2536
168	513	2527
169	515	2517
170	517	2508
171	519	2499
172	520	2490
173	522	2480
174	524	2470
175	526	2463
176	527	2454
177	529	2446
178	531	2437
179	533	2428
180	535	2421
181	537	2414
182	539	2407
183	541	2401
184	543	2395
185	545	2388
186	548	2382
187	550	2377
188	551	2367
189	553	2359
190	555	2351
191	557	2344
192	558	2336
193	560	2328
194	562	2321
195	564	2314
196	566	2308
197	568	2301
198	569	2293
199	571	2285
200	573	2277
201	574	2270
202	575	2261
203	577	2252
204	578	2244
205	580	2237
206	582	2230
207	583	2221
208	584	2214
209	586	2205
210	588	2198
211	589	2191
212	591	2184
213	593	2178
214	595	2172
215	597	2167
216	599	2162
217	600	2155
218	602	2147
219	603	2140
220	605	2133
221	606	2126
222	608	2119
223	610	2114
224	611	2107
225	613	2100
226	614	2093
227	616	2086
228	617	2080
229	619	2073
230	621	2067
231	622	2061
232	624	2054
233	625	2048
234	627	2042
235	629	2038
236	631	2032
237	632	2024
238	633	2017
239	634	2009
240	635	2000
241	636	1992
242	636	1984
243	637	1976
244	639	1970
245	640	1963
246	641	1956
247	642	1948
248	643	1939
249	644	1932
250	644	1924
251	645	1916
252	646	1908
253	647	1900
254	648	1893
255	649	1887
256	651	1882
257	652	1875
258	653	1868
259	654	1861
260	655	1854
261	655	1847
262	656	1840
263	657	1833
264	658	1826
265	659	1819
266	660	1814
267	661	1808
268	663	1801
269	664	1795
270	665	1789
271	666	1782
272	666	1776
273	667	1769
274	668	1763
275	669	1756
276	670	1750
277	671	1744
278	672	1738
279	673	1732
280	674	1725
281	675	1719
282	676	1713
283	677	1706
284	677	1700
285	678	1693
286	679	1687
287	679	1681
288	680	1674
289	681	1669
290	682	1663
291	683	1657
292	684	1651
293	685	1645
294	686	1639
295	686	1633
296	687	1627
297	688	1621
298	689	1615
299	690	1610
300	690	1604
301	691	1599
302	692	1593
303	693	1588
304	694	1582
305	695	1577
306	696	1571
307	697	1566
308	697	1560
309	698	1554
310	699	1549
311	700	1543
312	700	1538
313	701	1532
314	702	1528
315	703	1523
316	704	1518
317	705	1513
318	706	1508
319	707	1503
320	708	1498
321	709	1493
322	710	1488
323	711	1483
324	712	1479
325	713	1474
326	714	1470
327	715	1465
328	716	1460
329	717	1456
330	717	1451
331	718	1446
332	719	1441
333	720	1437
334	722	1433
335	723	1429
336	724	1425
337	726	1422
338	727	1418
339	728	1414
340	729	1410
341	730	1405
342	731	1401
343	732	1397
344	733	1392
345	735	1389
346	736	1386
347	737	1382
348	739	1378
349	740	1374
350	741	1371
351	743	1367
352	744	1364
353	745	1360
354	746	1357
355	748	1353
356	749	1350
357	750	1346
358	751	1342
359	753	1338
360	754	1334
361	755	1331
362	756	1327
363	758	1324
364	759	1321
365	760	1318
366	762	1314
367	763	1310
368	764	1307
369	765	1302
370	766	1298
371	767	1295
372	768	1292
373	770	1289
374	771	1285
375	772	1282
376	773	1278
377	775	1275
378	776	1272
379	778	1269
380	779	1267
381	781	1263
382	782	1260
383	783	1256
384	784	1253
385	785	1249
386	786	1246
387	787	1242
388	788	1239
389	789	1235
390	791	1232
391	792	1228
392	793	1225
393	794	1221
394	795	1217
395	796	1214
396	797	1211
397	798	1208
398	799	1204
399	801	1201
400	802	1198
401	803	1194
402	804	1191
403	805	1187
404	806	1184
405	807	1181
406	808	1177
407	809	1174
408	810	1171
409	811	1167
410	812	1164
411	814	1161
412	815	1158
413	816	1155
414	816	1151
415	817	1148
416	818	1144
417	819	1141
418	820	1137
419	821	1134
420	822	1130
421	823	1127
422	824	1124
423	825	1121
424	826	1118
425	827	1115
426	828	1111
427	829	1108
428	830	1105
429	831	1101
430	831	1098
431	832	1094
432	834	1092
433	835	1089
434	836	1085
435	837	1082
436	838	1079
437	839	1076
438	840	1073
439	840	1070
440	841	1067
441	842	1064
442	843	1061
443	845	1059
444	846	1056
445	848	1053
446	849	1051
447	851	1049
448	852	1046
449	853	1043
450	854	1040
451	856	1038
452	858	1036
453	859	1033
454	861	1031
455	862	1028
456	863	1025
457	864	1022
458	865	1020
459	866	1017
460	868	1015
461	869	1012
462	870	1009
463	871	1006
464	872	1004
465	874	1002
466	875	999
467	876	996
468	877	993
469	879	992
470	881	989
471	882	987
472	883	984
473	883	980
474	884	978
475	886	975
476	886	972
477	888	970
478	890	968
479	891	966
480	894	964
481	895	962
482	896	959
483	898	957
484	900	956
485	901	953
486	903	951
487	904	948
488	906	946
489	906	943
490	907	941
491	908	938
492	909	935
493	911	933
494	912	931
495	913	928
496	914	925
497	915	923
498	916	920
499	917	917
500	918	914
501	919	912
502	920	909
503	922	908
504	923	905
505	925	903
506	926	900
507	927	898
508	928	895
509	929	893
510	931	891
511	933	889
512	934	887
513	935	884
514	937	882
515	937	879
516	939	877
517	940	875
518	941	872
519	942	869
520	943	867
521	945	865
522	946	863
523	947	860
524	948	858
525	949	855
526	950	852
527	951	850
528	952	847
529	953	845
530	954	842
531	955	840
532	956	838
533	957	835
534	958	833
535	959	830
536	959	827
537	960	825
538	961	822
539	962	820
540	963	817
541	965	815
542	966	813
543	967	811
544	968	808
545	969	806
546	970	803
547	971	801
548	972	798
549	973	796
550	974	793
551	974	791
552	975	788
553	976	786
554	977	784
555	978	781
556	979	778
557	980	776
558	980	773
559	981	771
560	982	768
561	982	766
562	983	763
563	984	761
564	985	758
565	985	755
566	986	753
567	987	751
568	988	748
569	989	746
570	989	743
571	990	741
572	991	738
573	992	736
574	992	733
575	993	731
576	993	728
577	994	726
578	995	723
579	995	721
580	996	718
581	997	716
582	998	713
583	998	711
584	999	709
585	1000	706
586	1000	704
587	1001	701
588	1002	699
589	1003	697
590	1003	694
591	1004	692
592	1005	689
593	1005	687
594	1006	685
595	1007	682
596	1008	680
597	1009	678
598	1009	676
599	1010	673
600	1011	671
601	1012	669
602	1012	666
603	1013	664
604	1014	662
605	1015	659
606	1015	657
607	1016	655
608	1017	653
609	1018	650
610	1019	648
611	1020	647
612	1021	644
613	1022	642
614	1023	640
615	1024	638
616	1025	636
617	1025	633
